	baseMean	log2FoldChange	lfcSE	pvalue	padj
WDR74	1624.27609194793	0.563051130854748	0.266331298444551	0.00230077387741293	0.0432346860992991
WDR75	1149.44833166764	-0.0757743098766519	0.193249075956766	0.644992613375373	0.781289553008104
WDR76	137.616021962165	-0.160974282697384	0.302501839221714	0.351377336340112	NA
WDR77	1941.09312629722	0.215745819994908	0.193810112230048	0.190385334301349	0.382283135269351
WDR78	50.5776275086936	-0.13326563136175	0.354112139083351	0.206930579770471	NA
WDR81	1398.85278750202	0.0967484202876425	0.193026279028719	0.556076626335798	0.716798230624661
WDR82	3274.13405116437	-0.412994736463136	0.226901597743866	0.0208267608588829	0.120888039058579
WDR83	700.611174453151	0.424353704348925	0.249092133873051	0.020770674162503	0.120830736998792
WDR83OS	9150.53242940034	0.402737973057022	0.207285699112622	0.0187164507426506	0.113956571887653
WDR85	835.536918511274	0.476526577292196	0.244097511617626	0.00915377465240576	0.0800546631431379
WDR86	1095.30585316899	0.0677394457216432	0.22890510015326	0.705524127766278	0.820880973169726
WDR88	4.78183207321276	0.0736393269949867	0.371526300837373	0.1074289294076	NA
WDR89	355.397184945788	0.0147229963860341	0.247284703870938	0.935943358810196	NA
WDR90	242.779455399953	-0.314905469672839	0.260572531626587	0.0873168606843016	NA
WDR91	129.982513397257	-0.192055674983126	0.304787925614877	0.262507300575335	NA
WDR92	237.072439750662	-0.0731627708547601	0.294126111548876	0.679398019000468	NA
WDR96	3.56560130333835	0.00971950189643076	0.369081220491026	0.813281605176173	NA
WDSUB1	298.490185956331	-0.123157006303301	0.285965803854802	0.494352428841491	NA
WDTC1	3236.66757524142	-0.282818538730058	0.198619585279265	0.0907764878833286	0.252143614007145
WDYHV1	452.113439524193	-0.0232396843186112	0.254587215200283	0.899440021934174	NA
WEE1	301.980363898495	-0.185070833445188	0.259613459273514	0.31479353249397	NA
WFDC1	7.84503816835829	-0.038709596309385	0.367888121288635	0.450431732739135	NA
WFDC2	185.560907461154	0.351148069510285	0.310051390217604	0.0382298257923502	NA
WFDC3	8.69470102548281	0.0109433657474062	0.367222533420584	0.832783119505151	NA
WFDC8	20.0001078917528	0.128294592528407	0.35208690872777	0.241937500412167	NA
WFIKKN1	67.9482121814473	0.266649289913874	0.381196588456744	0.00884269747393384	NA
WFS1	5174.63629185416	-0.184411014587406	0.189023948654347	0.25553021691802	0.450671793781139
WHAMM	415.454904781543	-0.0108259934551963	0.243735087939042	0.952738717217467	NA
WHSC1	1462.41667936909	-0.34812295889906	0.223995086074085	0.0501954348854582	0.185822726351658
